first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job,unit_price,avg_price,cost_price,list_price,discount_pct,margin_pct,salesperson,invoice_delay
Carmen Nixon,Todd Anderson,marvinjackson@example.com,133,9,14.57,10/09/1982,283 Wendy Common,West Alexander,36239634,Logistics and distribution manager,1.62,17.16,12.87,21.45,92.45,-87.42,Salesperson_07,0
Mrs. Heather Miller,Julia Moore,jeffrey84@example.net,155,5,65.48,03/10/2012,13567 Patricia Circles Apt. 751,Andreamouth,2820163,Osteopath,13.1,15.41,11.55,19.26,31.99,13.34,Salesperson_20,7
Crystal May,Philip Moody,ugoodman@example.com,151,9,24.66,23/03/1976,6389 Debbie Island Suite 470,Coxbury,27006726,Economist,2.74,13.51,10.13,16.89,83.77,-72.96,Salesperson_15,4
Bobby Weber,Mark Scott,ssanchez@example.com,143,4,21.34,17/08/1986,6362 Ashley Plaza Apt. 994,Ninaland,83036521,Sports administrator,5.34,15.28,11.46,19.1,72.07,-53.44,Salesperson_11,2
Kristen Welch,David David,cynthia66@example.net,168,2,83.9,11/06/1996,463 Steven Cliffs Suite 757,Isaiahview,80142652,Chief Marketing Officer,41.95,15.87,11.9,19.84,111.49,252.48,Salesperson_08,0
Jamie Garcia,Jonathan Tate,luis57@example.net,192,6,55.67,01/09/2016,54443 Kyle Haven Apt. 230,Millsside,53234087,"Therapist, sports",9.28,12.37,9.28,15.47,40.01,-0.01,Salesperson_07,0
Amanda Hicks,Stephanie Huff,hendersontracey@example.org,153,4,77.57,17/04/1993,5600 Hannah Vista,Port Susan,30928602,Special educational needs teacher,19.39,13.85,10.39,17.32,11.98,86.64,Salesperson_19,0
James Parker,Dustin Hanson Jr.,ffowler@example.net,107,3,86.5,27/09/1986,9076 Garrett Well,New Heatherfort,45734816,Textile designer,28.83,14.9,11.17,18.62,54.86,158.1,Salesperson_11,5
Susan Smith,Michael Campbell,thomaspatricia@example.net,149,1,53.73,01/11/1997,1684 John Circles,South Kim,13834685,Psychiatrist,53.73,16.71,12.53,20.88,157.27,328.78,Salesperson_11,3
Kylie Campos,Samantha Mendez,danny61@example.com,108,5,91.71,23/03/1994,15898 Jeanne Inlet Suite 973,West Patricia,92548268,Radio broadcast assistant,18.34,15.47,11.6,19.34,5.16,58.07,Salesperson_04,9
Zachary Medina,Brendan Chambers,zreed@example.com,104,5,13.0,12/12/1992,79633 Golden Mountains Suite 172,Williamsborough,63931341,"Surveyor, land/geomatics",2.6,16.54,12.4,20.67,87.42,-79.04,Salesperson_08,0
Jill Villanueva,Jonathan Caldwell,christopherorozco@example.org,173,1,10.71,07/01/2020,59120 Hayes Expressway,New Christianfurt,6666309,"Therapist, speech and language",10.71,15.18,11.39,18.98,43.57,-5.96,Salesperson_03,6
Anthony Jennings,Luis Braun,christopher64@example.net,132,7,26.25,14/06/2019,931 Ronald Cape Suite 627,Franklinburgh,99504946,Graphic designer,3.75,16.57,12.42,20.71,81.89,-69.82,Salesperson_02,1
Steven Hubbard,Justin Rosales,robertgardner@example.com,140,5,33.19,15/03/2010,399 Robert Orchard Suite 518,Hatfieldfurt,21249600,Chiropractor,6.64,15.45,11.59,19.31,65.63,-42.71,Salesperson_12,0
Adam Fischer,Thomas Hudson,juarezstephanie@example.net,183,7,26.32,26/06/2002,071 Wells Valley,New Cherylchester,47746923,Print production planner,3.76,19.63,14.73,24.54,84.68,-74.47,Salesperson_06,0
Joseph Grant,Joshua Walters,craig44@example.org,108,7,6.59,20/08/2009,89873 Wheeler Dale Suite 550,Lake Joshuamouth,20484989,Commercial/residential surveyor,0.94,15.47,11.6,19.34,95.13,-91.89,Salesperson_02,0
Mitchell Raymond,Dalton Peck,zlarsen@example.com,196,8,46.3,31/03/1997,7519 Robbins Forest,Wigginsport,35270416,"Pharmacist, hospital",5.79,18.05,13.54,22.56,74.35,-57.25,Salesperson_01,0
Clayton Duncan,Joseph Wood,tgraves@example.net,133,8,26.84,15/08/1982,73351 Benson Views Suite 424,Port Russell,1290400,"Research officer, trade union",3.36,17.16,12.87,21.45,84.36,-73.93,Salesperson_12,3
Eric Miller,Victoria Salas,jrivas@example.com,150,1,48.57,30/09/1996,6924 Jeff Spurs Suite 172,East Juan,6481407,"Social research officer, government",48.57,14.05,10.54,17.57,176.5,360.84,Salesperson_12,4
